index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
 76	 -2	  2	  2	 0.007998	 0.004836	 1.006088	 0.608344	 1.175710	 0.543841
 77	  2	  0	  0	 0.010822	-0.020620	 1.361366	-2.593942	 2.929480	-1.087486
 78	  2	  0	  1	 0.031392	-0.014405	 3.948959	-1.812014	 4.344845	-0.430196
 79	  2	  0	 -1	-0.033054	-0.001031	-4.158073	-0.129730	 4.160097	-3.110403
 80	  2	 -1	  0	-0.027346	-0.048635	-3.439955	-6.118044	 7.018814	-2.083006
 81	  2	 -1	  1	 0.003453	-0.051002	 0.434387	-6.415745	 6.430434	-1.503193
 82	  2	 -1	 -1	 0.033369	 0.023613	 4.197586	 2.970354	 5.142249	 0.615831
 83	  2	  0	 -2	 0.023069	-0.009338	 2.901897	-1.174700	 3.130643	-0.384641
 84	  2	 -1	 -2	-0.009816	-0.059178	-1.234861	-7.444254	 7.545979	-1.735181
 85	  2	 -2	  0	-0.007770	-0.022761	-0.977458	-2.863257	 3.025503	-1.899771
 86	  2	 -2	  1	-0.006006	-0.001709	-0.755497	-0.214927	 0.785474	-2.864431
 87	  2	 -2	 -1	-0.015925	 0.017991	-2.003258	 2.263198	 3.022434	 2.295343
 88	  2	 -2	 -2	 0.007998	-0.004836	 1.006088	-0.608344	 1.175710	-0.543841
 89	 -2	  1	 -2	-0.025103	-0.017364	-3.157830	-2.184321	 3.839681	-2.536448
 90	 -2	  2	 -2	-0.006188	-0.000207	-0.778466	-0.025982	 0.778900	-3.108229
 91	  2	 -1	  2	-0.025103	 0.017364	-3.157830	 2.184321	 3.839681	 2.536448
 92	  2	 -2	  2	-0.006188	 0.000207	-0.778466	 0.025982	 0.778900	 3.108229
 93	 -2	  0	 -2	-0.025566	-0.012281	-3.216092	-1.544945	 3.567927	-2.693764
 94	  2	  0	  2	-0.025566	 0.012281	-3.216092	 1.544945	 3.567927	 2.693764
